                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.913,                 1.3776,                 1.3717,                0.69208,                0.57645,                0.65299,                0.33816,                 1.7242,                 1.2449,                 1.2728,               0.008911,               0.008911,               0.008911
                     36,                 1.9084,                  1.366,                 1.3736,                0.48428,                0.52539,                0.47454,                0.24254,                 1.7413,                 1.4621,                  1.288,               0.008878,               0.008878,               0.008878
                     37,                 1.8869,                 1.3675,                 1.3739,                0.69795,                0.58761,                0.65873,                0.34165,                   1.71,                 1.2187,                 1.2735,               0.008845,               0.008845,               0.008845
                     38,                 1.8958,                  1.361,                 1.3623,                0.67794,                 0.5296,                0.59876,                 0.3146,                 1.7045,                 1.3763,                 1.2694,               0.008812,               0.008812,               0.008812
                     39,                   1.88,                 1.3543,                 1.3478,                0.71821,                0.56259,                0.64779,                0.34984,                 1.6739,                 1.2134,                 1.2538,               0.008779,               0.008779,               0.008779
                     40,                 1.8744,                 1.3432,                 1.3572,                0.65108,                 0.6238,                0.64905,                 0.3389,                 1.6895,                  1.219,                 1.2659,               0.008746,               0.008746,               0.008746
                     41,                  1.887,                 1.3471,                 1.3714,                0.66792,                0.57049,                0.61889,                0.31129,                 1.7623,                 1.2431,                 1.2947,               0.008713,               0.008713,               0.008713
                     42,                 1.8771,                 1.3476,                 1.3681,                0.56072,                0.56297,                0.59324,                0.30297,                 1.7299,                 1.3324,                 1.2777,                0.00868,                0.00868,                0.00868
                     43,                  1.882,                 1.3467,                 1.3686,                0.58692,                0.55837,                0.58968,                0.29615,                  1.817,                 1.3708,                 1.3087,               0.008647,               0.008647,               0.008647
                     44,                 1.8632,                 1.3417,                 1.3645,                0.71538,                0.62111,                0.66473,                0.35206,                 1.6796,                  1.202,                 1.2492,               0.008614,               0.008614,               0.008614
                     45,                 1.8669,                 1.3127,                 1.3597,                0.73294,                0.60174,                 0.6625,                0.34866,                 1.6804,                 1.2259,                  1.244,               0.008581,               0.008581,               0.008581
                     46,                 1.8583,                 1.3108,                 1.3426,                0.67688,                0.59266,                0.64823,                0.34143,                 1.6645,                 1.1916,                 1.2409,               0.008548,               0.008548,               0.008548
                     47,                 1.8706,                 1.3097,                 1.3478,                 0.6936,                0.55605,                0.66433,                  0.345,                  1.718,                 1.1967,                 1.2674,               0.008515,               0.008515,               0.008515
                     48,                 1.8465,                 1.3042,                 1.3467,                 0.7019,                0.60307,                0.64539,                0.33855,                 1.6917,                 1.2743,                 1.2575,               0.008482,               0.008482,               0.008482
                     49,                 1.8438,                 1.3018,                 1.3552,                0.66106,                0.59182,                0.62276,                 0.3291,                 1.7351,                 1.3313,                 1.2791,               0.008449,               0.008449,               0.008449
                     50,                 1.8401,                 1.2741,                  1.343,                0.70395,                0.61725,                0.64803,                0.34154,                 1.6871,                 1.1977,                 1.2578,               0.008416,               0.008416,               0.008416
                     51,                 1.8469,                 1.2774,                 1.3255,                0.68991,                0.61223,                0.65655,                 0.3531,                 1.6984,                  1.211,                 1.2605,               0.008383,               0.008383,               0.008383
                     52,                 1.8161,                 1.2751,                 1.3471,                0.64878,                0.63837,                0.68159,                0.35623,                 1.7376,                 1.1511,                 1.2724,                0.00835,                0.00835,                0.00835
                     53,                 1.8299,                 1.2655,                 1.3396,                0.66345,                0.58178,                0.61934,                0.31009,                 1.7726,                 1.2567,                 1.3048,               0.008317,               0.008317,               0.008317
                     54,                 1.8206,                 1.2687,                 1.3345,                0.63769,                0.60521,                0.65383,                0.33615,                 1.7208,                 1.1875,                 1.2791,               0.008284,               0.008284,               0.008284
                     55,                 1.8292,                 1.2746,                 1.3542,                0.69927,                0.57342,                0.65764,                0.35292,                 1.6549,                 1.1831,                 1.2464,               0.008251,               0.008251,               0.008251
                     56,                 1.8139,                 1.2607,                 1.3349,                0.66178,                0.61936,                 0.6586,                0.34804,                 1.7094,                 1.2584,                 1.2865,               0.008218,               0.008218,               0.008218
                     57,                 1.8347,                 1.2627,                 1.3478,                0.64961,                0.59323,                0.64044,                0.32802,                 1.7382,                 1.2032,                 1.2836,               0.008185,               0.008185,               0.008185
                     58,                 1.8165,                 1.2759,                 1.3403,                0.66361,                0.62902,                0.68016,                 0.3567,                  1.691,                 1.1493,                 1.2537,               0.008152,               0.008152,               0.008152
                     59,                 1.8231,                 1.2516,                 1.3324,                 0.6608,                0.61676,                0.65478,                0.34851,                 1.6655,                 1.2109,                 1.2442,               0.008119,               0.008119,               0.008119
                     60,                  1.831,                 1.2627,                 1.3363,                0.65453,                0.65227,                0.68015,                0.35893,                 1.7111,                 1.1553,                 1.2684,               0.008086,               0.008086,               0.008086
                     61,                 1.8209,                 1.2309,                 1.3262,                0.66503,                0.62064,                0.67086,                0.34188,                 1.7491,                 1.1738,                 1.2988,               0.008053,               0.008053,               0.008053
                     62,                  1.806,                 1.2354,                 1.3369,                0.69106,                0.59066,                0.66421,                0.33486,                  1.775,                 1.2285,                   1.29,                0.00802,                0.00802,                0.00802
                     63,                 1.8095,                 1.2455,                  1.312,                0.66302,                0.63768,                0.68517,                 0.3595,                 1.6776,                 1.2187,                 1.2415,               0.007987,               0.007987,               0.007987
                     64,                 1.8038,                  1.214,                 1.3105,                0.46943,                0.55348,                0.52624,                0.26418,                 1.6915,                 1.4198,                 1.2543,               0.007954,               0.007954,               0.007954
                     65,                 1.8148,                 1.2384,                 1.3345,                0.70078,                0.57895,                0.65216,                0.34511,                   1.67,                 1.2534,                 1.2399,               0.007921,               0.007921,               0.007921
                     66,                 1.8013,                 1.2415,                  1.333,                0.66514,                 0.6305,                0.67949,                0.35662,                 1.7045,                  1.157,                  1.263,               0.007888,               0.007888,               0.007888
                     67,                 1.7973,                 1.2226,                 1.3211,                0.64281,                0.64291,                0.66398,                 0.3485,                  1.705,                 1.1853,                 1.2648,               0.007855,               0.007855,               0.007855
                     68,                 1.8168,                 1.2159,                 1.3243,                 0.6629,                0.65276,                0.68189,                0.35636,                 1.6687,                 1.1313,                 1.2488,               0.007822,               0.007822,               0.007822
                     69,                 1.8035,                 1.2249,                  1.312,                0.66836,                0.63926,                0.67735,                0.35847,                 1.6699,                 1.1434,                 1.2429,               0.007789,               0.007789,               0.007789
                     70,                 1.7914,                 1.2175,                 1.3195,                0.73348,                0.60316,                0.69461,                0.37092,                 1.6467,                 1.1253,                 1.2297,               0.007756,               0.007756,               0.007756
                     71,                 1.7878,                 1.2145,                 1.3141,                0.67156,                0.59844,                0.66355,                0.35253,                 1.6689,                 1.1658,                 1.2446,               0.007723,               0.007723,               0.007723
                     72,                 1.7718,                  1.193,                 1.3003,                0.67689,                0.66718,                0.68349,                 0.3607,                 1.6626,                 1.1849,                 1.2436,                0.00769,                0.00769,                0.00769
                     73,                 1.7867,                 1.1991,                 1.3148,                0.67809,                 0.6556,                0.67681,                 0.3531,                 1.6961,                  1.144,                 1.2578,               0.007657,               0.007657,               0.007657
                     74,                 1.7765,                  1.184,                 1.2965,                0.65179,                0.61821,                0.67812,                0.35274,                 1.7508,                 1.1701,                 1.2866,               0.007624,               0.007624,               0.007624
                     75,                 1.7791,                 1.1899,                  1.323,                0.69501,                0.63299,                0.68405,                 0.3599,                 1.7352,                 1.1364,                 1.2761,               0.007591,               0.007591,               0.007591
                     76,                 1.7527,                 1.1707,                 1.2837,                0.66809,                0.66509,                0.68767,                0.36827,                 1.7082,                 1.1988,                 1.2635,               0.007558,               0.007558,               0.007558
                     77,                 1.7742,                 1.1806,                 1.3119,                0.66142,                0.60805,                0.64108,                0.33699,                 1.6599,                 1.1738,                 1.2371,               0.007525,               0.007525,               0.007525
                     78,                 1.7624,                 1.1706,                  1.293,                 0.7146,                0.56393,                0.66394,                0.35345,                  1.682,                 1.1936,                 1.2481,               0.007492,               0.007492,               0.007492
                     79,                 1.7628,                  1.173,                 1.3178,                0.70527,                0.60426,                 0.6769,                0.36018,                 1.6844,                 1.1147,                 1.2469,               0.007459,               0.007459,               0.007459
                     80,                 1.7688,                 1.1725,                  1.316,                0.66853,                0.57084,                0.63532,                0.31858,                 1.7902,                 1.1809,                 1.3092,               0.007426,               0.007426,               0.007426
                     81,                 1.7741,                 1.1708,                 1.3001,                 0.6718,                0.53747,                0.62109,                0.32999,                  1.682,                 1.2703,                 1.2507,               0.007393,               0.007393,               0.007393
                     82,                 1.7663,                 1.1711,                 1.3206,                0.60744,                0.61572,                0.65842,                0.35344,                 1.6768,                 1.1629,                 1.2488,                0.00736,                0.00736,                0.00736
