epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,123.894,1.91851,1.49907,1.29156,0.3767,0.44703,0.38278,0.1857,1.84611,1.64383,1.34819,0.008614,0.008614,0.008614
44,126.66,1.91147,1.50137,1.29322,0.48302,0.49759,0.45634,0.22088,1.81171,1.58836,1.33028,0.008581,0.008581,0.008581
45,129.58,1.90477,1.48592,1.27825,0.41422,0.39993,0.34591,0.16892,1.88177,1.88058,1.35498,0.008548,0.008548,0.008548
46,132.336,1.89434,1.497,1.29429,0.40376,0.50142,0.40498,0.1931,1.88292,1.66094,1.37568,0.008515,0.008515,0.008515
47,135.104,1.89471,1.48234,1.28914,0.43228,0.44364,0.40196,0.18652,1.90223,1.69791,1.39458,0.008482,0.008482,0.008482
48,137.891,1.88766,1.45758,1.27431,0.43772,0.51765,0.43088,0.20139,1.88107,1.65143,1.36853,0.008449,0.008449,0.008449
49,140.663,1.88078,1.43585,1.27109,0.49726,0.47794,0.47643,0.23193,1.91873,1.59108,1.38978,0.008416,0.008416,0.008416
50,143.594,1.8653,1.45846,1.27907,0.4741,0.51827,0.46253,0.22794,1.86118,1.54189,1.35682,0.008383,0.008383,0.008383
51,146.335,1.87758,1.47367,1.2804,0.42709,0.42894,0.38238,0.18984,1.8518,1.7473,1.34624,0.00835,0.00835,0.00835
52,149.106,1.86868,1.41779,1.274,0.46408,0.51564,0.47502,0.23864,1.79793,1.49047,1.3198,0.008317,0.008317,0.008317
53,151.988,1.87099,1.44281,1.28822,0.54596,0.46335,0.47941,0.25323,1.81081,1.50025,1.33519,0.008284,0.008284,0.008284
54,154.893,1.85329,1.431,1.27084,0.42253,0.46542,0.40317,0.20126,1.8157,1.63302,1.32864,0.008251,0.008251,0.008251
55,157.619,1.85207,1.4192,1.25697,0.48599,0.54601,0.48524,0.24577,1.77671,1.49004,1.31592,0.008218,0.008218,0.008218
56,160.381,1.84713,1.43175,1.27208,0.55014,0.48833,0.48618,0.24647,1.82846,1.51231,1.33399,0.008185,0.008185,0.008185
57,163.158,1.85415,1.39583,1.26614,0.58339,0.4495,0.48521,0.24559,1.83101,1.53009,1.34447,0.008152,0.008152,0.008152
58,165.904,1.84527,1.41317,1.25216,0.50618,0.45595,0.46433,0.23032,1.82027,1.55099,1.3314,0.008119,0.008119,0.008119
59,168.643,1.85239,1.39991,1.27138,0.52354,0.51246,0.50857,0.25639,1.79432,1.48016,1.31224,0.008086,0.008086,0.008086
60,171.499,1.83599,1.42442,1.28188,0.44985,0.49987,0.45629,0.22321,1.82074,1.51998,1.32796,0.008053,0.008053,0.008053
61,174.259,1.84897,1.38838,1.27425,0.52127,0.52355,0.51088,0.25525,1.81705,1.48331,1.33338,0.00802,0.00802,0.00802
62,177,1.85508,1.3784,1.26328,0.53529,0.54568,0.51177,0.25771,1.76663,1.50111,1.29417,0.007987,0.007987,0.007987
63,179.902,1.83125,1.42399,1.25289,0.48328,0.57248,0.50972,0.25301,1.77704,1.48176,1.30608,0.007954,0.007954,0.007954
64,182.67,1.84314,1.38564,1.26122,0.40909,0.51334,0.40677,0.2035,1.8423,1.74095,1.34987,0.007921,0.007921,0.007921
65,185.434,1.83615,1.40049,1.26175,0.47917,0.55964,0.49536,0.25239,1.78179,1.47971,1.31406,0.007888,0.007888,0.007888
66,188.172,1.83163,1.3815,1.26836,0.48593,0.52754,0.50276,0.25243,1.77392,1.48001,1.31178,0.007855,0.007855,0.007855
67,190.91,1.83484,1.36872,1.25082,0.52987,0.54881,0.51889,0.26629,1.74596,1.4324,1.2944,0.007822,0.007822,0.007822
68,193.804,1.81736,1.38703,1.269,0.53933,0.53861,0.53509,0.27581,1.75099,1.43745,1.30088,0.007789,0.007789,0.007789
69,196.713,1.82835,1.39859,1.26129,0.53471,0.51766,0.5076,0.2605,1.76333,1.46167,1.30199,0.007756,0.007756,0.007756
70,199.424,1.80942,1.35832,1.25637,0.503,0.52508,0.50821,0.26148,1.79242,1.44671,1.31785,0.007723,0.007723,0.007723
71,202.214,1.82767,1.34807,1.24092,0.48206,0.57237,0.52463,0.27235,1.75116,1.4926,1.30105,0.00769,0.00769,0.00769
72,204.944,1.80477,1.36328,1.24164,0.53621,0.54361,0.54846,0.28327,1.75434,1.41293,1.29944,0.007657,0.007657,0.007657
73,207.841,1.80808,1.35838,1.2466,0.57609,0.53413,0.56031,0.29856,1.73606,1.39304,1.28473,0.007624,0.007624,0.007624
74,210.714,1.82036,1.32555,1.23977,0.58906,0.53381,0.56694,0.30144,1.70817,1.42009,1.27738,0.007591,0.007591,0.007591
75,213.619,1.80733,1.33077,1.24626,0.53929,0.56777,0.56298,0.28996,1.74547,1.39062,1.29123,0.007558,0.007558,0.007558
76,216.407,1.8107,1.33147,1.24488,0.58028,0.51833,0.53858,0.27978,1.71402,1.44703,1.28447,0.007525,0.007525,0.007525
77,219.175,1.8103,1.34707,1.2387,0.47473,0.51407,0.47175,0.23739,1.82626,1.59776,1.34094,0.007492,0.007492,0.007492
78,221.947,1.78693,1.31775,1.2433,0.51,0.56301,0.5282,0.27268,1.74865,1.47919,1.30082,0.007459,0.007459,0.007459
79,224.711,1.78129,1.3228,1.25581,0.57324,0.57796,0.57142,0.30699,1.69895,1.39861,1.27049,0.007426,0.007426,0.007426
80,227.621,1.80268,1.33111,1.24279,0.53722,0.57052,0.54338,0.28594,1.70984,1.41651,1.27828,0.007393,0.007393,0.007393
81,230.369,1.78517,1.31557,1.2457,0.59622,0.55058,0.54978,0.28779,1.72187,1.41456,1.28743,0.00736,0.00736,0.00736
82,233.139,1.79366,1.32143,1.24536,0.52594,0.5509,0.52619,0.26374,1.75824,1.50704,1.29666,0.007327,0.007327,0.007327
83,235.865,1.79912,1.32228,1.23884,0.56805,0.58942,0.57502,0.30749,1.70322,1.35039,1.28285,0.007294,0.007294,0.007294
84,238.781,1.78384,1.31687,1.22817,0.55285,0.56649,0.56294,0.30316,1.71902,1.37914,1.27689,0.007261,0.007261,0.007261
85,241.565,1.77969,1.30081,1.22803,0.53807,0.55521,0.55563,0.28994,1.7267,1.37242,1.27826,0.007228,0.007228,0.007228
86,244.389,1.78618,1.2872,1.22676,0.55143,0.60158,0.57848,0.31248,1.69871,1.36265,1.2742,0.007195,0.007195,0.007195
87,247.328,1.76873,1.27316,1.23997,0.503,0.59554,0.54338,0.29129,1.7321,1.41263,1.29449,0.007162,0.007162,0.007162
88,250.125,1.77583,1.30598,1.23012,0.55859,0.62117,0.58052,0.3171,1.68237,1.33618,1.26366,0.007129,0.007129,0.007129
89,253.029,1.76812,1.28182,1.22586,0.55348,0.60182,0.58328,0.3089,1.71245,1.34004,1.27,0.007096,0.007096,0.007096
90,255.819,1.79382,1.31104,1.23035,0.58445,0.61204,0.58912,0.31359,1.70287,1.30882,1.268,0.007063,0.007063,0.007063
91,258.59,1.75644,1.2811,1.2193,0.56216,0.60506,0.57626,0.30689,1.68698,1.34538,1.26906,0.00703,0.00703,0.00703
92,261.35,1.77087,1.28099,1.23254,0.50418,0.63921,0.55573,0.28757,1.73835,1.41606,1.29549,0.006997,0.006997,0.006997
93,264.134,1.76681,1.2823,1.24243,0.59184,0.59748,0.59271,0.31886,1.69566,1.32727,1.27678,0.006964,0.006964,0.006964
94,267.049,1.76739,1.27024,1.22529,0.59345,0.59331,0.61352,0.33332,1.68295,1.2979,1.2635,0.006931,0.006931,0.006931
95,269.982,1.7662,1.25637,1.22337,0.62532,0.58568,0.60156,0.3231,1.69479,1.36071,1.26852,0.006898,0.006898,0.006898
96,272.765,1.76103,1.27063,1.23182,0.56196,0.64792,0.61198,0.32912,1.67806,1.3046,1.27144,0.006865,0.006865,0.006865
97,275.518,1.75585,1.2705,1.23103,0.57643,0.60454,0.60167,0.32425,1.65464,1.33207,1.24888,0.006832,0.006832,0.006832
98,278.274,1.74341,1.28346,1.22113,0.58337,0.60638,0.59332,0.32089,1.67541,1.30507,1.26113,0.006799,0.006799,0.006799
99,281.042,1.76313,1.25332,1.22972,0.59759,0.64116,0.62626,0.34063,1.68168,1.28281,1.25724,0.006766,0.006766,0.006766
100,283.965,1.75446,1.23613,1.21767,0.5711,0.63261,0.60615,0.32621,1.67971,1.31453,1.26426,0.006733,0.006733,0.006733
101,286.753,1.72951,1.24622,1.21923,0.56915,0.62858,0.60907,0.33327,1.66165,1.29353,1.25432,0.0067,0.0067,0.0067
102,289.574,1.7607,1.24417,1.22019,0.57905,0.61448,0.61555,0.33475,1.67196,1.29167,1.26394,0.006667,0.006667,0.006667
103,292.382,1.74744,1.23451,1.21954,0.52855,0.59137,0.5971,0.32183,1.68854,1.347,1.26829,0.006634,0.006634,0.006634
104,295.155,1.73453,1.25069,1.21997,0.62292,0.57566,0.59493,0.3233,1.70663,1.30775,1.2849,0.006601,0.006601,0.006601
105,297.93,1.75148,1.2238,1.21482,0.59255,0.60919,0.62274,0.33608,1.67987,1.33578,1.26019,0.006568,0.006568,0.006568
106,300.692,1.73072,1.22227,1.2132,0.58979,0.60349,0.60355,0.32153,1.66699,1.35931,1.26309,0.006535,0.006535,0.006535
107,303.449,1.74798,1.24362,1.22305,0.60988,0.56986,0.60161,0.32187,1.68879,1.29946,1.27446,0.006502,0.006502,0.006502
108,306.214,1.72916,1.24175,1.21526,0.5742,0.64121,0.62353,0.34281,1.65977,1.28217,1.25291,0.006469,0.006469,0.006469
109,309.152,1.7286,1.21777,1.20791,0.6113,0.62265,0.62722,0.34162,1.63874,1.2869,1.24594,0.006436,0.006436,0.006436
110,311.929,1.73874,1.22554,1.22244,0.61996,0.61343,0.60785,0.33662,1.65687,1.26473,1.25617,0.006403,0.006403,0.006403
111,314.727,1.72482,1.23834,1.21068,0.63787,0.60057,0.62834,0.35002,1.65353,1.26319,1.25756,0.00637,0.00637,0.00637
112,317.611,1.69755,1.21084,1.19496,0.6249,0.62005,0.64762,0.37212,1.63608,1.23098,1.24162,0.006337,0.006337,0.006337
113,320.501,1.73943,1.22901,1.21536,0.61615,0.5943,0.63525,0.35393,1.64092,1.24549,1.24822,0.006304,0.006304,0.006304
114,323.284,1.73475,1.23632,1.21558,0.603,0.64074,0.61577,0.3449,1.64054,1.25977,1.25263,0.006271,0.006271,0.006271
115,326.113,1.72281,1.22771,1.20977,0.59724,0.58195,0.60273,0.3275,1.67173,1.30841,1.26618,0.006238,0.006238,0.006238
116,328.892,1.71812,1.20244,1.2163,0.6121,0.6342,0.65506,0.36274,1.64628,1.24214,1.26096,0.006205,0.006205,0.006205
117,331.709,1.70949,1.18997,1.20356,0.61986,0.60541,0.64598,0.35766,1.64885,1.29385,1.25124,0.006172,0.006172,0.006172
118,334.508,1.71825,1.22176,1.21153,0.57719,0.60502,0.60303,0.3271,1.67917,1.30866,1.2629,0.006139,0.006139,0.006139
119,337.369,1.70494,1.20141,1.19831,0.59969,0.6395,0.64654,0.35027,1.65472,1.26936,1.24598,0.006106,0.006106,0.006106
120,340.205,1.698,1.19698,1.20432,0.64405,0.59708,0.64025,0.3673,1.62348,1.23732,1.23476,0.006073,0.006073,0.006073
121,342.994,1.71588,1.22652,1.20795,0.60899,0.65892,0.65175,0.36023,1.624,1.21836,1.23787,0.00604,0.00604,0.00604
122,345.866,1.68768,1.1951,1.20233,0.6443,0.59616,0.65416,0.36856,1.63301,1.20746,1.25481,0.006007,0.006007,0.006007
123,348.67,1.71891,1.19437,1.21237,0.62751,0.64215,0.66399,0.37392,1.62514,1.22017,1.24903,0.005974,0.005974,0.005974
124,351.642,1.69569,1.18798,1.21217,0.6128,0.63606,0.643,0.35488,1.63503,1.28156,1.24328,0.005941,0.005941,0.005941
125,354.49,1.70658,1.19153,1.1884,0.60423,0.65212,0.64464,0.36111,1.62439,1.21084,1.24889,0.005908,0.005908,0.005908
126,357.346,1.70445,1.16035,1.19102,0.6142,0.67624,0.67608,0.3844,1.61009,1.22542,1.23463,0.005875,0.005875,0.005875
127,360.356,1.69051,1.17878,1.20276,0.63397,0.6218,0.64923,0.36773,1.62195,1.23772,1.24211,0.005842,0.005842,0.005842
128,363.172,1.68719,1.16532,1.19116,0.59434,0.64001,0.63908,0.35299,1.63902,1.27472,1.2486,0.005809,0.005809,0.005809
129,365.945,1.69113,1.1558,1.19741,0.65543,0.61284,0.66587,0.37772,1.62008,1.22833,1.24137,0.005776,0.005776,0.005776
130,368.733,1.67715,1.17287,1.194,0.56181,0.6499,0.62916,0.34635,1.64719,1.24999,1.25768,0.005743,0.005743,0.005743
131,371.507,1.68414,1.17302,1.19977,0.62713,0.65346,0.66854,0.38029,1.60963,1.1995,1.24385,0.00571,0.00571,0.00571
132,374.323,1.68416,1.16684,1.2068,0.6193,0.66122,0.66698,0.37293,1.61678,1.18736,1.2434,0.005677,0.005677,0.005677
133,377.129,1.6849,1.14803,1.19929,0.65526,0.59,0.65606,0.37185,1.65475,1.22558,1.24843,0.005644,0.005644,0.005644
134,379.969,1.68479,1.16426,1.20151,0.6331,0.63841,0.67085,0.38411,1.60651,1.17824,1.2336,0.005611,0.005611,0.005611
135,382.79,1.67144,1.15016,1.18729,0.58248,0.67352,0.66352,0.37891,1.61755,1.21386,1.23134,0.005578,0.005578,0.005578
136,385.571,1.68019,1.15531,1.18871,0.65742,0.65071,0.68794,0.40156,1.60148,1.18591,1.22646,0.005545,0.005545,0.005545
