               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046656,              0.1314,           0.0089101,             0.50139,             0.60464,             0.52834,             0.26762,            0.041257,             0.17328,             0.01391,            0.008812,            0.008812,            0.008812
                  38,            0.044905,             0.13508,           0.0081169,             0.47202,             0.60134,             0.51122,             0.25084,            0.044625,             0.16375,            0.013529,            0.008779,            0.008779,            0.008779
                  39,            0.045133,             0.13148,            0.007592,              0.4034,             0.55619,             0.47429,             0.23194,            0.046525,             0.16691,            0.023277,            0.008746,            0.008746,            0.008746
                  40,            0.044911,             0.13156,           0.0078308,             0.47278,             0.60553,                0.53,             0.26168,            0.044748,             0.16479,              0.0142,            0.008713,            0.008713,            0.008713
                  41,            0.046069,              0.1293,           0.0077867,             0.51378,             0.58746,             0.55472,             0.26329,            0.047809,             0.15743,            0.012914,             0.00868,             0.00868,             0.00868
                  42,             0.04435,             0.12557,           0.0074675,             0.52536,             0.60207,             0.58975,             0.28868,            0.043325,             0.15932,            0.012144,            0.008647,            0.008647,            0.008647
                  43,             0.04487,             0.13091,           0.0078276,             0.50853,             0.62537,             0.56274,             0.28883,              0.0418,             0.16266,            0.012682,            0.008614,            0.008614,            0.008614
                  44,            0.045429,             0.12702,           0.0076523,             0.53335,             0.61232,             0.56291,              0.2933,            0.041572,             0.16473,            0.012239,            0.008581,            0.008581,            0.008581
                  45,            0.044812,             0.12951,           0.0076766,             0.49002,             0.56026,             0.50729,             0.25022,            0.043012,             0.16415,            0.017784,            0.008548,            0.008548,            0.008548
                  46,            0.043321,             0.13258,           0.0078083,              0.5021,             0.58333,             0.51832,             0.24982,            0.045026,              0.1701,            0.013361,            0.008515,            0.008515,            0.008515
                  47,            0.043883,             0.13449,           0.0073349,             0.49471,             0.61432,             0.56164,             0.29558,             0.04017,             0.16089,             0.01486,            0.008482,            0.008482,            0.008482
                  48,            0.043322,             0.12924,           0.0078089,             0.52508,             0.52021,             0.49059,             0.26504,            0.041279,             0.17229,             0.01507,            0.008449,            0.008449,            0.008449
                  49,             0.04345,             0.12473,           0.0072022,             0.52505,             0.65236,             0.56424,             0.27862,            0.043165,             0.16274,             0.01253,            0.008416,            0.008416,            0.008416
                  50,            0.043246,               0.122,            0.006779,             0.56418,             0.61658,             0.59689,             0.30556,            0.041138,             0.16674,            0.012252,            0.008383,            0.008383,            0.008383
                  51,            0.043784,             0.12457,           0.0068664,             0.50362,             0.67897,              0.5859,              0.3081,            0.040367,             0.16199,            0.011339,             0.00835,             0.00835,             0.00835
                  52,            0.044021,             0.12562,           0.0076398,              0.5467,             0.65946,              0.6266,             0.32452,            0.040776,             0.15602,            0.011667,            0.008317,            0.008317,            0.008317
                  53,            0.042871,             0.12556,           0.0068971,             0.55834,             0.58733,             0.58479,             0.31278,            0.040937,             0.16344,            0.012904,            0.008284,            0.008284,            0.008284
                  54,            0.042912,             0.12837,           0.0067989,             0.61884,             0.61329,             0.63657,             0.33126,            0.040406,              0.1617,            0.011847,            0.008251,            0.008251,            0.008251
                  55,            0.043511,             0.12679,           0.0066644,             0.61382,             0.59327,             0.62584,             0.31251,            0.041168,              0.1612,            0.012228,            0.008218,            0.008218,            0.008218
                  56,            0.042457,              0.1258,           0.0070046,             0.67484,             0.55558,             0.61371,             0.32862,            0.040387,             0.16768,            0.012162,            0.008185,            0.008185,            0.008185
                  57,             0.04302,             0.12198,           0.0063247,             0.64814,             0.62393,             0.64572,              0.3464,            0.040439,             0.15971,            0.012013,            0.008152,            0.008152,            0.008152
                  58,            0.040837,             0.12194,            0.006401,             0.62197,             0.65795,              0.6678,             0.33451,            0.041945,             0.16526,            0.010882,            0.008119,            0.008119,            0.008119
                  59,            0.042644,             0.11997,           0.0062147,              0.7146,             0.59784,             0.68356,             0.36019,            0.040601,             0.16109,            0.010528,            0.008086,            0.008086,            0.008086
                  60,            0.042225,             0.12193,           0.0061712,             0.66265,             0.59393,             0.63767,             0.35668,            0.039847,             0.16748,            0.011795,            0.008053,            0.008053,            0.008053
                  61,            0.041587,             0.12133,           0.0057613,               0.639,             0.55475,             0.59576,             0.32112,            0.042612,             0.20844,           0.0099243,             0.00802,             0.00802,             0.00802
                  62,            0.042062,             0.12504,           0.0059459,             0.63471,             0.58962,             0.61506,              0.3193,            0.043605,             0.17502,            0.011053,            0.007987,            0.007987,            0.007987
